cells_per_finger_width,half_height_in_widths,capacitance_pF_per_m,max_residual_relative_units
10,6,51.236747404986765,3.552713678800501e-15
20,6,49.95005231244505,6.050715484207103e-15
40,6,49.319922890092286,7.105427357601002e-15
40,10,49.31992345591071,6.217248937900877e-15
