capacitance_pF,max_step_ns,frequency_Hz,ideal_Hz,difference_percent
100.0,0.2,5270247.0,5269904.270220674,0.006503529509305217
200.0,1.0,2631577.0,2634952.135110337,-0.12809094576571312
200.0,0.2,2634646.0,2634952.135110337,-0.011618241798683204
200.0,0.1,2635049.0,2634952.135110337,0.003676153671738902
400.0,0.2,1317524.0,1317476.0675551684,0.0036382023182124357
