elapsed_h,sample,temp_c,internal_c,freq_high,freq_low,fault,timestamp
0.1995034863888889,3382,-11.5,16.81,2234,280470,0,2026-01-03T06:59:19.243244
0.20266986722222222,3383,-11.75,16.93,2232,280436,0,2026-01-03T06:59:30.642215
0.205836955,3384,-10.0,16.87,2232,280350,0,2026-01-03T06:59:42.043731
0.20900371,3385,-11.75,16.87,2230,280276,0,2026-01-03T06:59:53.444049
0.2121703888888889,3386,-10.0,16.87,2228,280220,0,2026-01-03T07:00:04.844093
0.21533706833333333,3387,-10.25,16.75,2226,280124,0,2026-01-03T07:00:16.244139
0.21850369333333333,3388,-10.25,16.68,2224,280054,0,2026-01-03T07:00:27.643989
0.22167022166666667,3389,-10.75,16.75,2222,279982,0,2026-01-03T07:00:39.043491
0.22483718555555557,3390,-9.25,16.81,2220,279896,0,2026-01-03T07:00:50.444561
0.2280038902777778,3391,-9.25,16.75,2220,279822,0,2026-01-03T07:01:01.844698
0.23117051666666666,3392,-10.75,16.75,2218,279760,0,2026-01-03T07:01:13.244553
0.23433728222222222,3393,-9.0,16.75,2216,279684,0,2026-01-03T07:01:24.644909
0.2375040275,3394,-9.25,16.75,2216,279610,0,2026-01-03T07:01:36.045192
0.24067072888888888,3395,-9.5,16.68,2214,279496,0,2026-01-03T07:01:47.445317
0.24383744916666666,3396,-9.5,16.62,2212,279408,0,2026-01-03T07:01:58.845510
0.24700417444444445,3397,-9.25,16.68,2210,279330,0,2026-01-03T07:02:10.245721
0.2501708588888889,3398,-8.0,16.68,2210,279184,0,2026-01-03T07:02:21.645785
0.25333756555555553,3399,-8.0,16.5,2210,279104,0,2026-01-03T07:02:33.045929
0.2565042836111111,3400,-8.25,16.62,2210,279032,0,2026-01-03T07:02:44.446114
0.2596709875,3401,-8.5,16.75,2208,278946,0,2026-01-03T07:02:55.846248
0.26283770027777775,3402,-8.75,16.68,2208,278840,0,2026-01-03T07:03:07.246414
0.26600441472222225,3403,-8.75,16.43,2208,278740,0,2026-01-03T07:03:18.646586
0.2691711272222222,3404,-7.0,16.56,2208,278630,0,2026-01-03T07:03:30.046751
0.2723378397222222,3405,-7.0,16.81,2206,278542,0,2026-01-03T07:03:41.446916
0.2755045463888889,3406,-7.25,16.68,2206,278442,0,2026-01-03T07:03:52.847060
0.2786712402777778,3407,-7.5,16.62,2204,278324,0,2026-01-03T07:04:04.247158
0.2818379638888889,3408,-7.5,16.56,2206,278212,0,2026-01-03T07:04:15.647363
0.28500465583333334,3409,-7.75,16.62,2202,278084,0,2026-01-03T07:04:27.047454
0.2881713775,3410,-6.0,16.62,2202,277976,0,2026-01-03T07:04:38.447652
0.29133808,3411,-6.25,16.87,2200,277868,0,2026-01-03T07:04:49.847781
0.2945047797222222,3412,-6.5,16.68,2200,277770,0,2026-01-03T07:05:01.247900
0.29767150583333335,3413,-6.5,16.75,2198,277636,0,2026-01-03T07:05:12.648114
0.30083819916666665,3414,-6.5,16.62,2196,277550,0,2026-01-03T07:05:24.048210
0.30400490055555557,3415,-6.25,16.56,2196,277420,0,2026-01-03T07:05:35.448335
0.3071716113888889,3416,-6.75,16.75,2198,277292,0,2026-01-03T07:05:46.848494
0.3103383372222222,3417,-6.75,16.68,2196,277192,0,2026-01-03T07:05:58.248707
0.31350503305555555,3418,-5.0,16.68,2196,277052,0,2026-01-03T07:06:09.648812
0.31667175166666667,3419,-5.5,16.75,2196,276926,0,2026-01-03T07:06:21.048999
0.3198384572222222,3420,-5.5,16.68,2196,276790,0,2026-01-03T07:06:32.449139
0.3230051538888889,3421,-5.0,16.75,2194,276666,0,2026-01-03T07:06:43.849247
0.3261718533333333,3422,-5.5,16.68,2192,276530,0,2026-01-03T07:06:55.249365
0.3293385775,3423,-5.75,16.68,2190,276416,0,2026-01-03T07:07:06.649572
0.3325053402777778,3424,-5.5,16.5,2188,276266,0,2026-01-03T07:07:18.049918
0.33567201555555554,3425,-4.25,16.62,2188,276108,0,2026-01-03T07:07:29.449949
0.3388387222222222,3426,-5.75,16.62,2186,275974,0,2026-01-03T07:07:40.850093
0.34200540555555553,3427,-4.25,16.87,2184,275834,0,2026-01-03T07:07:52.250153
0.3451721497222222,3428,-4.0,16.68,2184,275698,0,2026-01-03T07:08:03.650432
0.3483387966666667,3429,-4.5,16.75,2184,275542,0,2026-01-03T07:08:15.050361
0.35150553472222223,3430,-3.0,16.56,2180,275384,0,2026-01-03T07:08:26.450618
0.3546722447222222,3431,-4.75,16.68,2184,275224,0,2026-01-03T07:08:37.850774
0.3578389986111111,3432,-3.0,16.5,2184,275050,0,2026-01-03T07:08:49.251088
0.36100565611111113,3433,-3.0,16.68,2182,274934,0,2026-01-03T07:09:00.651055
0.36417241361111113,3434,-3.25,16.68,2180,274772,0,2026-01-03T07:09:12.051382
0.3673390916666667,3435,-4.75,16.5,2180,274638,0,2026-01-03T07:09:23.451423
0.3705057938888889,3436,-3.25,16.68,2178,274498,0,2026-01-03T07:09:34.851551
