height_um,potential_peak_to_peak_V
0.0,1.0
3.8100000000000542,0.9702758199627534
7.6199999999999735,0.9406408499689805
11.430000000000028,0.9111824327141114
15.239999999999947,0.8819842880263029
19.05,0.8531249675368384
22.860000000000056,0.82467659370793
26.669999999999973,0.7967039270980392
30.48000000000003,0.7692637745527975
34.28999999999995,0.7424047233942976
38.1,0.7161671656030854
41.91000000000005,0.6905835626580841
45.71999999999998,0.6656788958326614
49.53000000000003,0.6414712470533145
53.33999999999995,0.6179724601631842
57.150000000000006,0.5951888398229865
60.96000000000006,0.5731218538076023
64.76999999999998,0.5517688129783762
68.58000000000003,0.5311235109844666
72.38999999999994,0.5111768123678881
76.2,0.4919171830721505
80.01000000000006,0.47333116141472276
83.81999999999998,0.45540377051285796
87.63000000000002,0.4381188751325821
91.43999999999996,0.4214594871544729
95.25,0.40540802449780866
99.06000000000006,0.3899465285735313
102.86999999999998,0.37505684527507643
106.68000000000004,0.36072077426562155
110.48999999999995,0.3469201909571312
114.30000000000001,0.3336371451562851
118.11000000000006,0.3208539399138136
121.91999999999997,0.30855319368282275
125.73000000000003,0.29671788848459546
129.53999999999996,0.2853314064063328
133.35,0.27437755641866757
137.16000000000005,0.2638405932025338
140.96999999999997,0.2537052294140122
144.78000000000003,0.2439566425896588
148.58999999999995,0.23458047770050675
152.4,0.225562846197023
156.21000000000006,0.21689032224643465
160.01999999999998,0.20854993674478842
163.83000000000004,0.20052916958587033
167.63999999999996,0.19281594058501467
171.45000000000002,0.1853985993854586
175.26000000000005,0.1782659146161698
179.07,0.17140706252115956
182.88000000000002,0.16481161523963989
186.68999999999994,0.15846952888264942
190.5,0.15237113152383144
194.31000000000006,0.1465071111989357
198.11999999999998,0.140868503989534
201.93000000000004,0.13544668225070242
205.73999999999995,0.13023334302947215
209.55,0.12522049671020574
213.36000000000007,0.12040045591432569
217.17,0.11576582467467696
220.98000000000005,0.1113094878989693
224.78999999999996,0.10702460113199713
228.60000000000002,0.10290458062247854
232.41000000000005,0.09894309369724054
236.21999999999997,0.09513404944297262
240.03000000000003,0.09147158969376705
243.83999999999995,0.08795008032107654
247.65,0.0845641028214704
251.46000000000006,0.0813084461966017
255.26999999999998,0.0781780991190586
259.08000000000004,0.07516824237722036
262.88999999999993,0.07227424159184079
266.7,0.06949164019680869
270.51000000000005,0.06681615267636351
274.32,0.06424365805095542
278.13000000000005,0.06177019360391622
281.93999999999994,0.059391948841139866
285.75,0.05710525967604299
289.56000000000006,0.05490660283218492
293.37,0.052792590456058795
297.18000000000006,0.050759964932719975
300.98999999999995,0.04880559389708651
304.8,0.04692646543392694
308.61000000000007,0.04511968345973895
312.42000000000013,0.04338246327991589
316.2299999999999,0.04171212731479422
320.03999999999996,0.04010610098837328
323.85,0.03856190877369563
327.6600000000001,0.03707717038907263
331.47000000000014,0.03564959713953364
335.2799999999999,0.034276988398067684
339.09,0.032957228221414184
342.90000000000003,0.03168828209534166
346.7100000000001,0.03046819380453287
350.5200000000001,0.029295082422368283
354.3299999999999,0.028167139416069804
358.14,0.02708262586283066
361.95,0.026039869772717328
365.76000000000005,0.025037263514283856
369.5700000000001,0.02407326133898873
373.3799999999999,0.023146377000649247
377.18999999999994,0.022255181466308505
381.0,0.02139830071502516
384.81000000000006,0.020574413621227118
388.6200000000001,0.01978224991939611
392.4299999999999,0.01902058824697189
396.23999999999995,0.018288254262482123
400.05,0.01758411883601723
403.86000000000007,0.016907096309278336
407.67000000000013,0.016256142822531724
411.4799999999999,0.015630254705904328
415.28999999999996,0.015028466932552411
419.1,0.014449851631329391
422.9100000000001,0.013893516656669293
426.72000000000014,0.013358604213489386
430.5299999999999,0.012844289534999317
434.34,0.012349779611384872
438.15000000000003,0.011874311967411951
441.9600000000001,0.01141715348707136
445.77000000000015,0.010977599283456669
449.5799999999999,0.01055497161213682
